LEAID,LEA_NAME,FTE_TEACHERS_FIN,TEACH_AMOUNT,AVG_TEACH_SALARY,Incomplete,SCHID,SCH_NAME,SCH_ADDRESS,SCH_CITY,SCH_STATE,SCH_ZIP 
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,27,1999356,74050,,174,KEY ES,5001 DANA PL  NW,WASHINGTON,DC,20016
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,36,2687419,74651,,179,JANNEY ES,4130 ALBEMARLE ST  NW,WASHINGTON,DC,20016
Subtotal,,,," $370,268.00 ",,,,,,,
,,,,,,,,,,,
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,29,2483189,85627,,111,BROOKLAND EC @ BUNKER HILL,1401 MICHIGAN AVE NE,WASHINGTON,DC,20017
1100030,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,16,1385970,86623,,198,LUKE C. MOORE HS,1001 MONROE ST NE,WASHINGTON,DC,20017
1100048,D.C. PREPARATORY ACADEMY PCS,30,1975872,65862,,277,D C  PREPARATORY EDGEWOOD MIDDLE CAMPUS PCS,701 EDGEWOOD STREET NE,WASHINGTON,DC,20017
1100051,HOPE COMMUNITY ACADEMY PCS,27,2162347,80087,,301,HOPE COMMUNITY PCS LAMOND CAMPUS,2917 8TH STREET NE,WASHINGTON,DC,20017
1100053,WILLIAM E. DOAR JR PCS,27.5,972127,35350,,303,WILLIAM E  DOAR JR WEDJ EDGEWOOD ELEMENTARY PCS,705 EDGEWOOD ST NE,WASHINGTON,DC,20017
1100060,POTOMAC LIGHTHOUSE PCS,18,1040866,57826,,310,POTOMAC LIGHTHOUSE PCS,1600 TAYLOR STREET NE,WASHINGTON,DC,20017
1100048,D.C. PREPARATORY ACADEMY PCS,33,1819060,55123,,388,D C  PREPARATORY EDGEWOOD ELEMENTARY CAMPUS PCS,707 EDGEWOOD ST NE,WASHINGTON,DC,20017
1100077,WASHINGTON YU YING PCS,23,1032398,44887,,411,WASHINGTON YU YING PCS,220 Taylor St. NE,WASHINGTON,DC,20017
1100053,WILLIAM E. DOAR JR PCS,5.67,336886,59416,,430,WILLIAM E  DOAR JR WEDJ EDGEWOOD MIDDLE AND UPPER,705 EDGEWOOD ST NE,WASHINGTON,DC,20017
