LEA_STATE,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,FTE_ABSENT,Incomplete
DC,1100054,APPLETREE EARLY LEARNING PCS,435,APPLETREE EARLY LEARNING PCS OKLAHOMA AVE,1.10E+11,,9,
DC,1100054,APPLETREE EARLY LEARNING PCS,99997,APPLETREE EARLY LEARNING PCS LINCOLN PARK,1.10E+11,,4,
DC,1100054,APPLETREE EARLY LEARNING PCS,99998,APPLETREE EARLY LEARNING PCS PARKLANDS,1.10E+11,,3,
DC,1100054,APPLETREE EARLY LEARNING PCS,99999,APPLETREE EARLY LEARNING PCS DOUGLAS KNOLL,1.10E+11,,3,
DC,1100055,BRIDGES PCS,305,BRIDGES PCS,1.10E+11,,11,
DC,1100057,EARLY CHILDHOOD ACADEMY PCS,307,EARLY CHILDHOOD ACADEMY PCS,1.10E+11,,2,
DC,1100057,EARLY CHILDHOOD ACADEMY PCS,431,EARLY CHILDHOOD ACADEMY PCS JOHENNING CAMPUS,1.10E+11,,1,
DC,1100058,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH & SCIENCE,308,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENC,1.10E+11,,1,
DC,1100060,POTOMAC LIGHTHOUSE PCS,310,POTOMAC LIGHTHOUSE PCS,1.10E+11,,1,
DC,1100064,ST. COLETTA SPECIAL EDUCATION PCS,367,ST  COLETTA SPECIAL EDUCATION PCS,1.10E+11,,6,
DC,1100066,SEPTIMA CLARK PCS,318,SEPTIMA CLARK PCS,1.10E+11,,0,
DC,1100072,ACHIEVEMENT PREPARATORY ACADEMY PCS,405,ACHIEVEMENT PREPARATORY ACADEMY PCS,1.10E+11,,1,
DC,1100073,CENTER CITY PCS,393,CENTER CITY CAPITOL HILL CAMPUS PCS,1.10E+11,,1,
DC,1100073,CENTER CITY PCS,395,CENTER CITY PETWORTH CAMPUS PCS,1.10E+11,,0,
DC,1100073,CENTER CITY PCS,400,CENTER CITY BRIGHTWOOD CAMPUS PCS,1.10E+11,,0,
DC,1100073,CENTER CITY PCS,403,CENTER CITY TRINIDAD CAMPUS PCS,1.10E+11,,0,
DC,1100073,CENTER CITY PCS,404,CENTER CITY SHAW CAMPUS PCS,1.10E+11,,0,
DC,1100073,CENTER CITY PCS,412,CENTER CITY CONGRESS HEIGHTS CAMPUS PCS,1.10E+11,,0,
DC,1100076,EXCEL ACADEMY PCS,408,EXCEL ACADEMY PCS,1.10E+11,,0,
DC,1100077,WASHINGTON YU YING PCS,411,WASHINGTON YU YING PCS,1.10E+11,,5,
DC,1100079,NATIONAL COLLEGIATE PREP,424,NATIONAL COLLEGIATE ACADEMY,1.10E+11,,0,
DC,11DOJ02,DEPARTMENT OF YOUTH REHABILITATION SERVICES,99999,DYRS SCHOOL AT NEW BEGINNINGS YOUTH DEV'T CENTER,11DOJ0299999,X,0,
DC,9999035,Mundo Verde Bilingual Public Charter School,99999,Mundo Verde Bilingual Public Charter School,1.00E+12,,0,
DC,9999037,RICHARD WRIGHT PUBLIC CHARTER SCHOOL OF JOURNALISM AND MEDIA ARTS,99999,RICHARD WRIGHT PUBLIC CHARTER SCHOOL OF JOURNALISM AND MEDIA ARTS,1.00E+12,,0,
